contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected
SPY250630C00470000,2025-06-26 14:50:10+00:00,470.0,140.48,143.43,145.56,0.0,0.0,3.0,1,1.8320320898437497,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7643395302185627,2025-06-29 12:49:52.353214
SPY250630C00475000,2025-06-25 18:23:31+00:00,475.0,131.76,138.42,140.56,0.0,0.0,1.0,1,1.7705089599609374,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7724708018166325,2025-06-29 12:49:52.353214
SPY250630C00480000,2025-06-18 14:44:57+00:00,480.0,121.0,133.42,135.56,0.0,0.0,2.0,0,1.7080092724609375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7806020734147023,2025-06-29 12:49:52.353214
SPY250630C00485000,2025-06-26 14:31:29+00:00,485.0,125.5,128.43,130.56,0.0,0.0,200.0,3,1.646486142578125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7887333450127721,2025-06-29 12:49:52.353214
SPY250630C00490000,2025-06-20 14:09:07+00:00,490.0,107.4,123.43,125.56,0.0,0.0,2.0,2,1.5859395703124997,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.796864616610842,2025-06-29 12:49:52.353214
SPY250630C00491000,2025-06-11 15:34:27+00:00,491.0,113.67,122.43,124.56,0.0,0.0,2.0,0,1.5732443212890623,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7984908709304559,2025-06-29 12:49:52.353214
SPY250630C00492000,2025-06-17 18:20:56+00:00,492.0,105.72,121.43,123.56,0.0,0.0,1.0,0,1.5615256298828122,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8001171252500698,2025-06-29 12:49:52.353214
SPY250630C00493000,2025-06-11 18:37:33+00:00,493.0,109.13,120.43,122.56,0.0,0.0,1.0,0,1.5488303808593749,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8017433795696838,2025-06-29 12:49:52.353214
SPY250630C00494000,2025-06-11 18:37:33+00:00,494.0,108.11,119.43,121.56,0.0,0.0,1.0,0,1.537111689453125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8033696338892978,2025-06-29 12:49:52.353214
SPY250630C00495000,2025-06-25 15:46:46+00:00,495.0,112.05,118.43,120.56,0.0,0.0,1.0,1,1.5249047192382812,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8049958882089118,2025-06-29 12:49:52.353214
SPY250630C00496000,2025-06-11 18:37:33+00:00,496.0,106.14,117.43,119.56,0.0,0.0,1.0,0,1.5126977490234375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8066221425285257,2025-06-29 12:49:52.353214
SPY250630C00497000,2025-06-11 18:37:33+00:00,497.0,105.14,116.43,118.56,0.0,0.0,1.0,0,1.5009790576171875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8082483968481396,2025-06-29 12:49:52.353214
SPY250630C00498000,2025-06-11 18:37:33+00:00,498.0,104.13,115.43,117.56,0.0,0.0,3.0,0,1.4882838085937498,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8098746511677536,2025-06-29 12:49:52.353214
SPY250630C00499000,2025-06-13 16:37:24+00:00,499.0,102.3,114.43,116.56,0.0,0.0,1.0,0,1.4765651171875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8115009054873676,2025-06-29 12:49:52.353214
SPY250630C00500000,2025-06-27 15:40:41+00:00,500.0,116.0,113.43,115.56,5.040001,4.542178,12.0,19,1.46484642578125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8131271598069816,2025-06-29 12:49:52.353214
SPY250630C00501000,2025-06-20 16:41:17+00:00,501.0,94.98,112.43,114.56,0.0,0.0,2.0,4,1.4521511767578126,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8147534141265955,2025-06-29 12:49:52.353214
SPY250630C00502000,2025-06-17 14:15:08+00:00,502.0,99.7,111.43,113.56,0.0,0.0,2.0,0,1.4404324853515624,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8163796684462095,2025-06-29 12:49:52.353214
SPY250630C00503000,2025-04-29 16:56:00+00:00,503.0,56.98,86.56,89.93,0.0,0.0,2.0,80,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8180059227658234,2025-06-29 12:49:52.353214
SPY250630C00504000,2025-04-28 18:01:40+00:00,504.0,53.72,85.15,86.36,0.0,0.0,2.0,167,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8196321770854375,2025-06-29 12:49:52.353214
SPY250630C00505000,2025-06-18 17:54:28+00:00,505.0,95.0,108.43,110.57,0.0,0.0,15.0,1,1.408206083984375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8212584314050514,2025-06-29 12:49:52.353214
SPY250630C00506000,2025-05-12 18:11:44+00:00,506.0,79.17,94.93,96.96,0.0,0.0,21.0,30,1.0000000000000003e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8228846857246653,2025-06-29 12:49:52.353214
