contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,retrieved,ticker,moneyness,days_to_exp,target
AAPL250620C00175000,2025-06-13 19:54:40+00:00,175.0,21.35,21.5,22.0,-2.5499992,-10.669453,733.0,3590,0.559574716796875,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,8.19672131147541,4,1
AAPL250620C00180000,2025-06-13 19:48:25+00:00,180.0,16.4,16.6,17.1,-2.7000008,-14.136129,1520.0,7418,0.5419967675781252,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,10.975609756097562,4,1
AAPL250620C00185000,2025-06-13 19:59:28+00:00,185.0,11.7,11.95,12.15,-2.5500002,-17.89474,673.0,6109,0.4231014721679687,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,15.811965811965813,4,1
AAPL250620C00187500,2025-06-13 19:59:31+00:00,187.5,9.43,9.6,9.85,-2.3199997,-19.744678,165.0,489,0.38867798828125,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,19.88335100742312,4,0
AAPL250620C00190000,2025-06-13 19:59:20+00:00,190.0,7.3,7.5,7.65,-2.6999998,-26.999998,1731.0,12233,0.3566958862304687,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,26.027397260273972,4,0
AAPL250620C00192500,2025-06-13 19:59:42+00:00,192.5,5.5,5.5,5.65,-2.0100002,-26.764315,2810.0,504,0.3324041369628906,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,35.0,4,0
AAPL250620C00195000,2025-06-13 19:59:54+00:00,195.0,3.85,3.8,3.95,-1.9500003,-33.620693,10866.0,14876,0.3169013623046874,True,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,50.64935064935065,4,0
AAPL250620C00197500,2025-06-13 19:59:58+00:00,197.5,2.46,2.44,2.49,-1.69,-40.722893,22117.0,4294,0.2963937548828125,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,80.28455284552845,4,0
AAPL250620C00200000,2025-06-13 19:59:59+00:00,200.0,1.4,1.41,1.45,-1.32,-48.529415,41513.0,39937,0.2844309838867186,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,142.85714285714286,4,0
AAPL250620C00202500,2025-06-13 19:59:59+00:00,202.5,0.74,0.74,0.77,-0.92999995,-55.68862,24960.0,12032,0.2766185620117187,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,273.64864864864865,4,0
AAPL250620C00205000,2025-06-13 19:59:56+00:00,205.0,0.38,0.38,0.4,-0.61,-61.616165,32418.0,41244,0.2768627001953124,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,539.4736842105264,4,0
AAPL250620C00207500,2025-06-13 19:59:44+00:00,207.5,0.2,0.2,0.22,-0.36,-64.28572,9245.0,14452,0.2856516748046874,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,1037.5,4,0
AAPL250620C00210000,2025-06-13 19:59:47+00:00,210.0,0.12,0.11,0.14,-0.21000001,-63.636364,28789.0,64655,0.3037179003906249,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,1750.0,4,0
AAPL250620C00212500,2025-06-13 19:59:57+00:00,212.5,0.09,0.08,0.09,-0.099999994,-52.631577,4351.0,9370,0.3203192968749999,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,2361.1111111111113,4,0
AAPL250620C00215000,2025-06-13 19:56:48+00:00,215.0,0.06,0.06,0.07,-0.06999999,-53.84615,6474.0,41875,0.3457096679687499,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,3583.3333333333335,4,0
AAPL250620C00217500,2025-06-13 19:53:16+00:00,217.5,0.04,0.04,0.05,-0.060000002,-60.000004,1709.0,6064,0.3632876171875,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,5437.5,4,0
AAPL250620C00220000,2025-06-13 19:59:53+00:00,220.0,0.04,0.04,0.05,-0.04,-50.0,4602.0,45250,0.398443515625,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,5500.0,4,0
AAPL250620C00222500,2025-06-13 19:37:46+00:00,222.5,0.04,0.03,0.05,-0.02,-33.333336,490.0,2528,0.4335994140625,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,5562.5,4,1
AAPL250620C00225000,2025-06-13 19:50:26+00:00,225.0,0.04,0.02,0.04,0.0,0.0,3213.0,23827,0.45313046875,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,5625.0,4,1
AAPL250620C00227500,2025-06-13 17:35:54+00:00,227.5,0.03,0.02,0.04,0.0,0.0,126.0,2990,0.48438015625,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,7583.333333333334,4,1
AAPL250620C00230000,2025-06-13 19:45:13+00:00,230.0,0.02,0.02,0.03,0.0,0.0,2868.0,32583,0.500005,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,11500.0,4,1
AAPL250620C00232500,2025-06-13 15:59:52+00:00,232.5,0.03,0.01,0.03,0.0,0.0,23.0,3158,0.5039112109375,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,7750.0,4,1
AAPL250620C00235000,2025-06-13 19:45:47+00:00,235.0,0.01,0.01,0.02,-0.01,-50.0,1221.0,28502,0.51562984375,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,23500.0,4,1
AAPL250620C00240000,2025-06-13 19:56:13+00:00,240.0,0.01,0.0,0.01,-0.01,-50.0,990.0,56780,0.51562984375,False,REGULAR,USD,2025-06-20,2025-06-15 13:42:22.069277,AAPL,24000.0,4,1
