contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected,day_of_week,month,volume_oi_ratio,bid_ask_spread,mid_price,last_mid_diff,delta,gamma,theta,vega
SPY250630C00470000,2025-06-26 14:50:10+00:00,470.0,140.48,143.43,145.56,0.0,0.0,3.0,1,1.8320320898437497,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7643395302185627,2025-06-29 12:49:52.353214,6,6,1.5,2.1299999999999955,144.495,-4.015000000000015,0.0,0.0,0.0,0.0
SPY250630C00475000,2025-06-25 18:23:31+00:00,475.0,131.76,138.42,140.56,0.0,0.0,1.0,1,1.7705089599609374,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7724708018166325,2025-06-29 12:49:52.353214,6,6,0.5,2.140000000000015,139.49,-7.730000000000018,0.0,0.0,0.0,0.0
SPY250630C00480000,2025-06-18 14:44:57+00:00,480.0,121.0,133.42,135.56,0.0,0.0,2.0,0,1.7080092724609377,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7806020734147023,2025-06-29 12:49:52.353214,6,6,2.0,2.140000000000015,134.49,-13.490000000000009,0.0,0.0,0.0,0.0
SPY250630C00485000,2025-06-26 14:31:29+00:00,485.0,125.5,128.43,130.56,0.0,0.0,200.0,3,1.646486142578125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7887333450127721,2025-06-29 12:49:52.353214,6,6,50.0,2.1299999999999955,129.495,-3.9950000000000045,0.0,0.0,0.0,0.0
SPY250630C00490000,2025-06-20 14:09:07+00:00,490.0,107.4,123.43,125.56,0.0,0.0,2.0,2,1.5859395703124997,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.796864616610842,2025-06-29 12:49:52.353214,6,6,0.6666666666666666,2.1299999999999955,124.495,-17.095,0.0,0.0,0.0,0.0
SPY250630C00491000,2025-06-11 15:34:27+00:00,491.0,113.67,122.43,124.56,0.0,0.0,2.0,0,1.5732443212890623,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.7984908709304559,2025-06-29 12:49:52.353214,6,6,2.0,2.1299999999999955,123.495,-9.825000000000003,0.0,0.0,0.0,0.0
SPY250630C00492000,2025-06-17 18:20:56+00:00,492.0,105.72,121.43,123.56,0.0,0.0,1.0,0,1.5615256298828122,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8001171252500698,2025-06-29 12:49:52.353214,6,6,1.0,2.1299999999999955,122.495,-16.775000000000006,0.0,0.0,0.0,0.0
SPY250630C00493000,2025-06-11 18:37:33+00:00,493.0,109.13,120.43,122.56,0.0,0.0,1.0,0,1.5488303808593749,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8017433795696838,2025-06-29 12:49:52.353214,6,6,1.0,2.1299999999999955,121.495,-12.365000000000009,0.0,0.0,0.0,0.0
SPY250630C00494000,2025-06-11 18:37:33+00:00,494.0,108.11,119.43,121.56,0.0,0.0,1.0,0,1.537111689453125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8033696338892978,2025-06-29 12:49:52.353214,6,6,1.0,2.1299999999999955,120.495,-12.385000000000005,0.0,0.0,0.0,0.0
SPY250630C00495000,2025-06-25 15:46:46+00:00,495.0,112.05,118.43,120.56,0.0,0.0,1.0,1,1.5249047192382812,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8049958882089118,2025-06-29 12:49:52.353214,6,6,0.5,2.1299999999999955,119.495,-7.445000000000007,0.0,0.0,0.0,0.0
SPY250630C00496000,2025-06-11 18:37:33+00:00,496.0,106.14,117.43,119.56,0.0,0.0,1.0,0,1.5126977490234377,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8066221425285257,2025-06-29 12:49:52.353214,6,6,1.0,2.1299999999999955,118.495,-12.355000000000004,0.0,0.0,0.0,0.0
SPY250630C00497000,2025-06-11 18:37:33+00:00,497.0,105.14,116.43,118.56,0.0,0.0,1.0,0,1.5009790576171875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8082483968481396,2025-06-29 12:49:52.353214,6,6,1.0,2.1299999999999955,117.495,-12.355000000000004,0.0,0.0,0.0,0.0
SPY250630C00498000,2025-06-11 18:37:33+00:00,498.0,104.13,115.43,117.56,0.0,0.0,3.0,0,1.4882838085937498,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8098746511677536,2025-06-29 12:49:52.353214,6,6,3.0,2.1299999999999955,116.495,-12.365000000000009,0.0,0.0,0.0,0.0
SPY250630C00499000,2025-06-13 16:37:24+00:00,499.0,102.3,114.43,116.56,0.0,0.0,1.0,0,1.4765651171875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8115009054873676,2025-06-29 12:49:52.353214,6,6,1.0,2.1299999999999955,115.495,-13.195000000000007,0.0,0.0,0.0,0.0
SPY250630C00500000,2025-06-27 15:40:41+00:00,500.0,116.0,113.43,115.56,5.040001,4.542178,12.0,19,1.46484642578125,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8131271598069816,2025-06-29 12:49:52.353214,6,6,0.6,2.1299999999999955,114.495,1.5049999999999955,0.0,0.0,0.0,0.0
SPY250630C00501000,2025-06-20 16:41:17+00:00,501.0,94.98,112.43,114.56,0.0,0.0,2.0,4,1.4521511767578126,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8147534141265955,2025-06-29 12:49:52.353214,6,6,0.4,2.1299999999999955,113.495,-18.515,0.0,0.0,0.0,0.0
SPY250630C00502000,2025-06-17 14:15:08+00:00,502.0,99.7,111.43,113.56,0.0,0.0,2.0,0,1.4404324853515624,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8163796684462095,2025-06-29 12:49:52.353214,6,6,2.0,2.1299999999999955,112.495,-12.795000000000002,0.0,0.0,0.0,0.0
SPY250630C00503000,2025-04-29 16:56:00+00:00,503.0,56.98,86.56,89.93,0.0,0.0,2.0,80,1.0000000000000004e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8180059227658234,2025-06-29 12:49:52.353214,6,6,0.024691358024691357,3.3700000000000045,88.245,-31.265000000000008,0.0,0.0,0.0,0.0
SPY250630C00504000,2025-04-28 18:01:40+00:00,504.0,53.72,85.15,86.36,0.0,0.0,2.0,167,1.0000000000000004e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8196321770854375,2025-06-29 12:49:52.353214,6,6,0.011904761904761904,1.2099999999999937,85.755,-32.035,0.0,0.0,0.0,0.0
SPY250630C00505000,2025-06-18 17:54:28+00:00,505.0,95.0,108.43,110.57,0.0,0.0,15.0,1,1.408206083984375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8212584314050514,2025-06-29 12:49:52.353214,6,6,7.5,2.1399999999999864,109.5,-14.5,0.0,0.0,0.0,0.0
SPY250630C00506000,2025-05-12 18:11:44+00:00,506.0,79.17,94.93,96.96,0.0,0.0,21.0,30,1.0000000000000004e-05,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8228846857246653,2025-06-29 12:49:52.353214,6,6,0.6774193548387096,2.029999999999987,95.945,-16.77499999999999,0.0,0.0,0.0,0.0
SPY250630C00507000,2025-06-27 19:22:56+00:00,507.0,105.1,106.43,108.57,22.21,26.794546,4.0,0,1.3842804223632812,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8245109400442793,2025-06-29 12:49:52.353214,6,6,4.0,2.1399999999999864,107.5,-2.4000000000000057,0.0,0.0,0.0,0.0
SPY250630C00508000,2025-06-27 19:22:56+00:00,508.0,104.16,105.43,107.57,15.910004,18.028332,4.0,0,1.3720734521484377,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.8261371943638932,2025-06-29 12:49:52.353214,6,6,4.0,2.1399999999999864,106.5,-2.3400000000000034,0.0,0.0,0.0,0.0
