contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected,bs_price,simulated_pnl_expiry,mc_price,bs_diff,mc_diff,bs_vs_mc,label,predicted_proba,delta,gamma,theta,iv_smoothed_5d,log_return,hist_vol_20d,moneyness_class,day_of_week,month,volume_oi_ratio,bid_ask_spread,mid_price,last_mid_diff,vega,daily_sentiment_score
AAPL250703C00177500,2025-06-27 19:25:32+00:00,177.5,24.12,22.55,25.0,-0.47999954,-1.9512177,10.0,41,0.596683720703125,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.8827332324630355,2025-06-29 12:49:53.239946,23.688892706109755,0.9268004882731766,23.476800488273177,0.43110729389024627,0.6431995117268237,0.2120922178365774,1,0.9998972522252881,0.9903694224965524,0.002370972851387305,-0.07079006937878854,0.7585961640625001,0.0,0.0,OTM,6,6,0.23809523809523808,2.4499999999999993,23.775,0.3450000000000024,0.004701505208897205,0
AAPL250703C00180000,2025-06-27 19:53:04+00:00,180.0,21.07,21.05,21.65,-0.4300003,-2.0000014,2029.0,205,0.57617611328125,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.8951660948920923,2025-06-29 12:49:53.239946,21.213412274291954,-0.04270745154890321,21.007292548451098,-0.14341227429195413,0.06270745154890278,0.20611972584085692,1,0.9857320909375312,0.984383689592598,0.0037323307809592463,-0.09283776553700701,0.7019561054687501,0.0,0.0,OTM,6,6,9.849514563106796,0.5999999999999979,21.35,-0.28000000000000114,0.007146633773382565,0
AAPL250703C00182500,2025-06-27 19:40:36+00:00,182.5,18.95,18.55,19.35,0.20000076,1.0666708,44.0,128,0.5546919531250001,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.9075989573211491,2025-06-29 12:49:53.239946,18.75184677828625,0.001446856605085145,18.551446856605086,0.19815322171374916,0.39855314339491343,0.20039992168116427,1,0.9997542437958815,0.9750754836528577,0.005765166169670281,-0.12253943418543932,0.6632846171875001,0.0,0.0,OTM,6,6,0.34108527131782945,0.8000000000000007,18.950000000000003,-3.552713678800501e-15,0.010627468990617095,0
AAPL250703C00185000,2025-06-27 19:49:42+00:00,185.0,16.22,16.0,17.4,-0.4300003,-2.5825846,64.0,192,0.5620160986328125,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.920031819750206,2025-06-29 12:49:53.239946,16.361734273797822,0.1525625098262573,16.152562509826257,-0.1417342737978231,0.06743749017374157,0.20917176397156467,1,0.9988512134940084,0.9524740148374257,0.009666339129346436,-0.19310676489270387,0.6409215595703126,0.0,0.0,OTM,6,6,0.3316062176165803,1.3999999999999986,16.7,-0.4800000000000004,0.018054145360762507,0
AAPL250703C00187500,2025-06-27 19:11:06+00:00,187.5,13.9,13.6,14.4,0.5999994,4.511274,129.0,133,0.5376022802734376,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.9324646821792628,2025-06-29 12:49:53.239946,13.972276439606446,0.17257688982557973,13.77257688982558,-0.07227643960644592,0.12742311017442098,0.1996995497808669,1,0.9995571884724267,0.9288755873496991,0.01386907739075145,-0.24568826465573854,0.5654340332031251,0.0,0.0,OTM,6,6,0.9626865671641791,0.8000000000000007,14.0,-0.09999999999999964,0.0247784893169662,0
AAPL250703C00190000,2025-06-27 19:58:58+00:00,190.0,11.5,11.2,11.65,-0.13000011,-1.1177998,693.0,1074,0.415044912109375,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.9448975446083197,2025-06-29 12:49:53.239946,11.365222864096438,0.011389166486077684,11.211389166486077,0.13477713590356188,0.288610833513923,0.15383369761036114,1,0.9996241426214131,0.937735044794086,0.016206686853247602,-0.17890520968345017,0.5291062714843751,0.0,0.0,OTM,6,6,0.6446511627906977,0.45000000000000107,11.425,0.07499999999999929,0.022354012342319665,0
AAPL250703C00192500,2025-06-27 19:56:37+00:00,192.5,9.09,8.8,9.15,-0.21000004,-2.258065,224.0,603,0.3457096679687499,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.9573304070373764,2025-06-29 12:49:53.239946,8.882938242942117,-0.044246156198067155,8.755753843801934,0.20706175705788255,0.3342461561980663,0.12718439914018376,1,0.9995229405986725,0.9222113567200069,0.023093798736587345,-0.17705955450139307,0.48301298242187496,0.0,0.0,ATM,6,6,0.3708609271523179,0.34999999999999964,8.975000000000001,0.11499999999999844,0.026532187203295962,0
AAPL250703C00195000,2025-06-27 19:59:58+00:00,195.0,6.7,6.7,6.85,-0.3800001,-5.3672333,1069.0,3852,0.3061592822265625,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.9697632694664332,2025-06-29 12:49:53.239946,6.5217904563867535,-0.28691256370910256,6.413087436290898,0.1782095436132467,0.28691256370910256,0.10870302009585586,0,0.07599971640422834,0.8717825257361606,0.03754180907381317,-0.21802592131349063,0.4333064482421875,0.0,0.0,ATM,6,6,0.27744614586036853,0.14999999999999947,6.775,-0.07500000000000018,0.03819695816350655,0
AAPL250703C00197500,2025-06-27 19:59:09+00:00,197.5,4.8,4.7,4.85,-0.14999962,-3.0302954,2790.0,1274,0.2890696093749999,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.9821961318954902,2025-06-29 12:49:53.239946,4.405696126265553,-0.3903772039948876,4.3096227960051126,0.3943038737344464,0.49037720399488727,0.09607333026044085,1,0.9882638399223846,0.7624672875439522,0.05866007616985569,-0.2918941476406247,0.378717150390625,0.0,0.0,ATM,6,6,2.1882352941176473,0.14999999999999947,4.775,0.024999999999999467,0.05635224331196548,0
AAPL250703C00200000,2025-06-27 19:59:58+00:00,200.0,3.0,2.95,3.1,-0.29999995,-9.090908,17409.0,11336,0.2695385546875,True,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,0.994628994324547,2025-06-29 12:49:53.239946,2.5903653376830533,-0.4410796058663853,2.508920394133615,0.4096346623169467,0.4910796058663851,0.08144494354943843,1,0.9457878049225033,0.5984837708863365,0.07870400045165955,-0.332834477986122,0.3251044052734375,0.0,0.0,ATM,6,6,1.5355914263032548,0.1499999999999999,3.0250000000000004,-0.025000000000000355,0.0704991456954599,0
AAPL250703C00202500,2025-06-27 19:59:58+00:00,202.5,1.7,1.68,1.74,-0.26999998,-13.705583,43405.0,12350,0.252937158203125,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.0070618567536038,2025-06-29 12:49:53.239946,1.2537151856435997,-0.4795047812448483,1.2004952187551516,0.4462848143564002,0.4995047812448483,0.0532199668884481,1,0.9864195109107617,0.3907022714641073,0.08325186460944335,-0.3055984680894237,0.29268285449218745,0.0,0.0,ATM,6,6,3.514290340863088,0.06000000000000005,1.71,-0.010000000000000009,0.06997980942254399,0
AAPL250703C00205000,2025-06-27 19:59:59+00:00,205.0,0.85,0.84,0.89,-0.26999998,-24.107141,43658.0,17894,0.2475661181640625,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.0194947191826609,2025-06-29 12:49:53.239946,0.5083268423348954,-0.3576486455634852,0.4823513544365148,0.34167315766510453,0.3676486455634852,0.025975487898380667,1,0.9799890180589734,0.20307347379370716,0.06260269895236246,-0.21803944973877257,0.27305414453125,0.0,0.0,ATM,6,6,2.439675887119307,0.050000000000000044,0.865,-0.015000000000000013,0.05150512142326669,0
AAPL250703C00207500,2025-06-27 19:59:58+00:00,207.5,0.38,0.38,0.41,-0.22000003,-36.66667,16970.0,12306,0.2461012890625,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.0319275816117175,2025-06-29 12:49:53.239946,0.17070800455568858,-0.219274853484482,0.160725146515518,0.20929199544431143,0.219274853484482,0.009982858040170572,0,0.024320340867737125,0.08393962374975056,0.034359503817548376,-0.11755165468287704,0.2610425458984375,0.0,0.0,ATM,6,6,1.3788900625660194,0.02999999999999997,0.395,-0.015000000000000013,0.028101333131982213,0
AAPL250703C00210000,2025-06-27 19:59:59+00:00,210.0,0.19,0.18,0.19,-0.09,-32.14286,29703.0,20506,0.25196060546875,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.0443604440407743,2025-06-29 12:49:53.239946,0.054328246331659,-0.12992005042495613,0.050079949575043865,0.135671753668341,0.13992005042495614,0.004248296756615137,1,0.9454854040163151,0.030690149978099747,0.01509545525627118,-0.053917372876003,0.2536207451171875,0.0,0.0,ATM,6,6,1.4484322426488516,0.010000000000000009,0.185,0.0050000000000000044,0.012639939924196897,0
AAPL250703C00212500,2025-06-27 19:59:49+00:00,212.5,0.11,0.09,0.11,-0.049999997,-31.25,4782.0,3687,0.27149166015625,False,REGULAR,USD,AAPL,2025-07-03,3,201.0800018310547,1.0567933064698312,2025-06-29 12:49:53.239946,0.022974606220538707,-0.06944522016999881,0.02055477983000119,0.0870253937794613,0.08944522016999881,0.0024198263905375154,1,0.9591889140720308,0.013370682274297314,0.006930029774071837,-0.028657107889570863,0.2540113662109375,0.0,0.0,ITM,6,6,1.2966377440347072,0.020000000000000004,0.1,0.009999999999999995,0.006252558230102537,0
